ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
19565,7361,1341,0.182176,308621
18073,8740,528,0.060412,985982
16121,3431,174,0.050714,1014940
19311,6588,465,0.070583,934680
15692,783,152,0.194125,225905
17371,189,57,0.301587,7487
48347,115,29,0.252174,15969
18956,83,25,0.301205,7512
32724,37658,32,0.000850,1156127
48230,16925,476,0.028124,1090513
53081,31108,976,0.031375,1077412
29926,26090,40,0.001533,1148980
54956,38759,769,0.019841,1113802
18519,4303,466,0.108297,760206
85248,34909,25,0.000716,1157744
32953,23474,24,0.001022,1154017
32141,18737,23,0.001228,1151516
48183,38687,4254,0.109959,751213
22801,27073,23,0.000850,1156127
18064,22431,2762,0.123133,707448
19720,52125,26,0.000499,1160171
17339,5986,874,0.146007,574162
54915,33703,898,0.026645,1095710
49091,17230,337,0.019559,1114766
08057,20531,31,0.001510,1149199
49504,34541,996,0.028835,1088021
48879,15872,361,0.022744,1105688
33578,47006,39,0.000830,1156414
17036,20380,3712,0.182139,312333
32934,18256,22,0.001205,1151732
15108,34782,5701,0.163907,435975
48306,25087,3603,0.143620,595482
18036,12628,2125,0.168277,396233
48108,23940,483,0.020175,1112974
49202,17129,2842,0.165917,411352
33931,7680,28,0.003646,1138942
16505,14503,2187,0.150796,537780
16801,29523,2473,0.083765,892449
54935,29789,627,0.021048,1109293
53012,18051,179,0.009916,1131536
18015,25749,1567,0.060857,982086
15642,40168,8779,0.218557,116459
18069,6660,1212,0.181982,314613
19044,13179,1288,0.097731,816439
17345,6186,426,0.068865,942266
18051,3346,260,0.077705,919832
21122,55094,36,0.000653,1158577
34222,13455,56,0.004162,1137986
53083,17755,534,0.030076,1083238
19971,17878,30,0.001678,1148274
18955,1133,221,0.195057,224761
19025,6290,291,0.046264,1032525
15666,12911,663,0.051352,1014745
18927,201,61,0.303483,7430
15028,106,27,0.254717,15940
18970,506,142,0.280632,8091
15691,109,31,0.284404,7949
34238,26846,72,0.002682,1142263
08054,42516,68,0.001599,1148646
48912,15387,114,0.007409,1133818
15205,19029,664,0.034894,1067098
49525,27396,4475,0.163345,443027
32168,32282,25,0.000774,1157220
22407,52195,21,0.000402,1160657
34292,18805,71,0.003776,1138614
32137,53460,59,0.001104,1152915
49267,4186,737,0.176063,371950
19013,25730,191,0.007423,1133704
17356,19163,3406,0.177738,360229
29708,36224,43,0.001187,1151962
17043,5035,285,0.056604,995582
15963,8979,341,0.037978,1055300
15501,12556,310,0.024689,1101343
15084,7738,531,0.068622,945308
54115,40137,1336,0.033286,1072005
54901,25700,173,0.006732,1134877
34714,24873,24,0.000965,1154668
19601,19563,489,0.024996,1100893
26508,29148,22,0.000755,1157454
18014,10551,836,0.079234,906297
18011,4661,569,0.122077,710655
19382,43350,7037,0.162330,467669
32159,32651,130,0.003982,1138432
17522,24422,4016,0.164442,430274
17344,2663,583,0.218926,107680
15034,1375,171,0.124364,690576
16045,864,148,0.171296,386685
34110,25662,70,0.002728,1141834
19034,5748,307,0.053410,1007449
33572,25753,58,0.002252,1144598
53066,34839,610,0.017509,1119028
54937,16873,212,0.012564,1128052
54880,24269,54,0.002225,1144837
53143,16574,76,0.004585,1137338
48036,20204,277,0.013710,1125681
48433,25023,1593,0.063661,969763
33919,29202,48,0.001644,1148514
34986,30412,53,0.001743,1147926
17013,28723,2946,0.102566,792679
16146,9754,939,0.096268,817413
15238,12648,1374,0.108634,758734
55901,43053,27,0.000627,1158801
48430,37182,1646,0.044269,1037854
48864,18866,928,0.049189,1020402
49707,21168,547,0.025841,1098024
49015,24954,2526,0.101226,799664
48504,24790,546,0.022025,1107586
29588,46179,115,0.002490,1143336
30519,44880,22,0.000490,1160296
34787,78634,93,0.001183,1152055
32904,34170,52,0.001522,1149080
28012,24929,21,0.000842,1156258
85207,42003,29,0.000690,1158020
44039,31713,29,0.000914,1155346
76502,40093,30,0.000748,1157484
32224,34687,39,0.001124,1152700
16365,14468,996,0.068842,943262
15143,19344,3697,0.191119,254799
17044,15795,960,0.060779,985180
37122,55497,38,0.000685,1158138
49017,19530,1082,0.055402,1001255
23451,39150,27,0.000690,1158020
48867,25154,1516,0.060269,988478
33414,49195,28,0.000569,1159604
19465,14638,2166,0.147971,554343
48420,20108,345,0.017157,1119805
48473,20904,1867,0.089313,853008
77494,85700,34,0.000397,1160713
15146,24202,3099,0.128047,675548
48911,33716,991,0.029393,1084715
48846,13971,512,0.036647,1060963
15133,5033,735,0.146036,573288
54143,12691,227,0.017887,1117705
17050,35223,7461,0.211822,158858
15129,9659,1753,0.181489,320212
15085,6904,1558,0.225666,68193
18915,1443,230,0.159390,489018
18840,8478,295,0.034796,1067393
18032,7424,365,0.049165,1020767
15683,6582,531,0.080675,900058
43611,15632,82,0.005246,1136442
48602,24524,1203,0.049054,1021970
48820,16794,1421,0.084614,886609
17257,20493,181,0.008832,1132273
17551,7492,1401,0.186999,281079
19053,22845,975,0.042679,1043113
15110,4087,118,0.028872,1086859
18088,7528,338,0.044899,1036208
18218,1722,105,0.060976,980519
17016,411,100,0.243309,29210
15615,247,59,0.238866,46496
34210,14742,33,0.002239,1144631
28405,28964,36,0.001243,1151386
34231,30187,39,0.001292,1150954
28278,32481,23,0.000708,1157897
33543,35105,54,0.001538,1148940
49426,34727,7952,0.228986,65064
33547,25726,31,0.001205,1151732
49120,37577,3282,0.087341,864703
80016,57812,21,0.000363,1160808
54303,18978,663,0.034935,1066434
75071,56370,33,0.000585,1159376
28115,38046,41,0.001078,1153396
48176,21317,1400,0.065675,961633
34286,20764,40,0.001926,1147027
48706,37069,5238,0.141304,611672
48302,16539,1089,0.065844,960233
48301,13852,260,0.018770,1115579
34476,29348,40,0.001363,1150292
34223,21256,57,0.002682,1142263
53403,20100,55,0.002736,1141764
29577,34090,88,0.002581,1142601
48843,42825,2636,0.061553,978531
34233,17832,27,0.001514,1149168
43035,24331,23,0.000945,1154949
48503,22350,311,0.013915,1125404
48823,35384,991,0.028007,1092096
49242,12952,305,0.023548,1103615
49107,9962,147,0.014756,1124207
53566,12057,33,0.002737,1141709
54241,11978,60,0.005009,1136667
15668,12175,2504,0.205667,187698
16001,32503,2546,0.078331,914621
19054,14091,553,0.039245,1053367
19352,9682,198,0.020450,1111204
19510,6117,791,0.129312,668199
18434,3532,258,0.073046,929377
21113,32372,24,0.000741,1157586
49534,20730,5052,0.243705,29110
48047,35552,7824,0.220072,98863
48160,11643,440,0.037791,1056222
49087,5799,89,0.015347,1123204
53058,3191,27,0.008461,1132849
53405,19923,73,0.003664,1138914
17201,19516,2596,0.133019,659903
15229,12188,1023,0.083935,889976
17034,2109,282,0.133713,651417
18083,460,101,0.219565,105757
74012,46133,28,0.000607,1159032
18071,8488,387,0.045594,1034820
33458,45569,50,0.001097,1152995
32092,49540,32,0.000646,1158660
29485,50650,53,0.001046,1153800
21742,29124,65,0.002232,1144696
49456,19552,1949,0.099683,809994
32955,38370,39,0.001016,1154090
21740,50218,89,0.001772,1147737
29681,57274,81,0.001414,1149941
49048,22074,1515,0.068633,944777
21811,24540,22,0.000896,1155534
49316,21502,2126,0.098875,812364
34119,34832,86,0.002469,1143604
18505,14409,1127,0.078215,915748
15010,22436,1495,0.066634,958784
34288,14998,35,0.002334,1144139
54952,21262,718,0.033769,1070002
17406,19385,3705,0.191127,251102
18940,28679,4804,0.167509,401060
44514,21252,48,0.002259,1144540
48174,30530,2068,0.067737,951806
48130,15070,170,0.011281,1129911
48198,35823,1044,0.029143,1085759
48362,13724,3328,0.242495,32729
48708,24151,2083,0.086249,872238
19610,13754,2557,0.185910,286047
17368,6249,420,0.067211,954040
15425,14252,83,0.005824,1135767
17098,1785,179,0.100280,806229
17407,1837,458,0.249320,16427
15317,37488,7318,0.195209,224540
49423,42210,4351,0.103080,789733
49093,17378,305,0.017551,1118418
17584,8517,1787,0.209816,172717
15946,5389,151,0.028020,1091105
17965,1617,267,0.165121,424704
18705,11397,34,0.002983,1140904
15613,11413,314,0.027512,1093819
18237,2535,286,0.112821,745092
15014,2331,312,0.133848,651135
08085,18280,34,0.001860,1147198
19383,1194,108,0.090452,841581
18911,138,47,0.340580,47
15647,224,46,0.205357,187744
46062,34516,35,0.001014,1154148
32778,22190,33,0.001487,1149328
28540,38856,24,0.000618,1158891
28079,34752,23,0.000662,1158400
